seed,model,group,correct,count,rate
2,adaptive-f3-mcfg,fault:drop-product-server-occurrence:all,16,16,1.0
2,adaptive-f3-mcfg,fault:drop-product-server-occurrence:seen-size,4,4,1.0
2,adaptive-f3-mcfg,fault:drop-product-server-occurrence:unseen-size,12,12,1.0
2,adaptive-f3-mcfg,fault:duplicate-product-currency-server-occurrence:all,20,20,1.0
2,adaptive-f3-mcfg,fault:duplicate-product-currency-server-occurrence:seen-size,8,8,1.0
2,adaptive-f3-mcfg,fault:duplicate-product-currency-server-occurrence:unseen-size,12,12,1.0
2,adaptive-f3-mcfg,fault:duplicate-product-server-occurrence:all,20,20,1.0
2,adaptive-f3-mcfg,fault:duplicate-product-server-occurrence:seen-size,8,8,1.0
2,adaptive-f3-mcfg,fault:duplicate-product-server-occurrence:unseen-size,12,12,1.0
2,adaptive-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:all,20,20,1.0
2,adaptive-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:seen-size,8,8,1.0
2,adaptive-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:unseen-size,12,12,1.0
2,trivial-f3-mcfg,normal-all,20,20,1.0
2,trivial-f3-mcfg,normal-seen-size,8,8,1.0
2,trivial-f3-mcfg,normal-unseen-size,12,12,1.0
2,trivial-f3-mcfg,fault:currency-server-phase-inversion:all,16,20,0.8
2,trivial-f3-mcfg,fault:currency-server-phase-inversion:seen-size,4,8,0.5
2,trivial-f3-mcfg,fault:currency-server-phase-inversion:unseen-size,12,12,1.0
2,trivial-f3-mcfg,fault:drop-product-currency-server-occurrence:all,16,16,1.0
2,trivial-f3-mcfg,fault:drop-product-currency-server-occurrence:seen-size,4,4,1.0
2,trivial-f3-mcfg,fault:drop-product-currency-server-occurrence:unseen-size,12,12,1.0
2,trivial-f3-mcfg,fault:drop-product-server-occurrence:all,16,16,1.0
2,trivial-f3-mcfg,fault:drop-product-server-occurrence:seen-size,4,4,1.0
2,trivial-f3-mcfg,fault:drop-product-server-occurrence:unseen-size,12,12,1.0
2,trivial-f3-mcfg,fault:duplicate-product-currency-server-occurrence:all,20,20,1.0
2,trivial-f3-mcfg,fault:duplicate-product-currency-server-occurrence:seen-size,8,8,1.0
2,trivial-f3-mcfg,fault:duplicate-product-currency-server-occurrence:unseen-size,12,12,1.0
2,trivial-f3-mcfg,fault:duplicate-product-server-occurrence:all,20,20,1.0
2,trivial-f3-mcfg,fault:duplicate-product-server-occurrence:seen-size,8,8,1.0
2,trivial-f3-mcfg,fault:duplicate-product-server-occurrence:unseen-size,12,12,1.0
